# Time-averaged data for fix Ave
# TimeStep v_HAg v_HTe
5310 0.0135644 -4.57521
5320 0.0126528 -4.57847
5330 0.0119836 -4.57922
5340 0.0115763 -4.57852
5350 0.0112916 -4.57742
5360 0.0110065 -4.57706
5370 0.0106445 -4.57876
5380 0.0101226 -4.58293
5390 0.00944025 -4.58869
5400 0.00877701 -4.59403
5410 0.00846781 -4.59726
5420 0.00883616 -4.59736
5430 0.0100755 -4.59499
5440 0.0121356 -4.59137
5450 0.0147711 -4.58796
5460 0.0175622 -4.58569
5470 0.0199236 -4.58502
5480 0.021286 -4.58534
5490 0.0213993 -4.58655
5500 0.0204759 -4.58847
5510 0.0190081 -4.59052
5520 0.0174737 -4.59212
5530 0.0162049 -4.59335
5540 0.0153942 -4.59404
5550 0.0150218 -4.59415
5560 0.0148818 -4.59327
5570 0.0147609 -4.59118
5580 0.0145861 -4.58829
5590 0.0143505 -4.58518
5600 0.0140148 -4.58318
5610 0.0135021 -4.58262
5620 0.0128269 -4.58424
5630 0.0121366 -4.58662
5640 0.0116554 -4.58835
5650 0.0116148 -4.58777
5660 0.0121589 -4.58466
5670 0.0131809 -4.5802
5680 0.0143167 -4.57619
5690 0.0153001 -4.57445
5700 0.0161884 -4.57573
5710 0.017047 -4.57865
5720 0.0177858 -4.58119
5730 0.0183005 -4.58193
5740 0.0186589 -4.58041
5750 0.0190577 -4.57678
5760 0.0195631 -4.57225
5770 0.0199696 -4.56951
5780 0.0199829 -4.5706
5790 0.0194927 -4.57586
5800 0.0186401 -4.58316
5810 0.017705 -4.58923
5820 0.0169472 -4.59217
5830 0.0165075 -4.59141
5840 0.0164002 -4.58828
5850 0.0165565 -4.5852
5860 0.0168731 -4.58474
5870 0.0172584 -4.58819
5880 0.0176601 -4.59408
5890 0.0180663 -4.59965
5900 0.0184793 -4.60182
5910 0.018828 -4.59974
5920 0.0189714 -4.59496
5930 0.0188434 -4.59048
5940 0.018529 -4.58885
5950 0.0181608 -4.59027
5960 0.0178067 -4.59324
5970 0.0175068 -4.59557
5980 0.017353 -4.59623
5990 0.0173548 -4.59584
6000 0.0174469 -4.59556
6010 0.017606 -4.59663
6020 0.0179446 -4.59847
6030 0.0186238 -4.59986
6040 0.0196528 -4.5998
6050 0.0207919 -4.59842
6060 0.0217033 -4.5973
6070 0.0221343 -4.59753
6080 0.022043 -4.59903
6090 0.0216692 -4.60074
6100 0.0213574 -4.60133
6110 0.0212458 -4.60009
6120 0.0212127 -4.59774
6130 0.0209691 -4.59483
6140 0.0202941 -4.59199
6150 0.0192797 -4.58959
6160 0.0183294 -4.58795
6170 0.0177901 -4.58808
6180 0.0177445 -4.59072
6190 0.0180858 -4.59529
6200 0.0186531 -4.59953
6210 0.0192849 -4.60163
6220 0.0198812 -4.60085
6230 0.0204231 -4.5986
6240 0.020881 -4.59632
6250 0.0211997 -4.59561
6260 0.0213618 -4.59667
6270 0.0213896 -4.59782
6280 0.021226 -4.59734
6290 0.0207054 -4.59564
6300 0.0196442 -4.5945
6310 0.018077 -4.59559
6320 0.0162655 -4.5988
6330 0.0145698 -4.60223
6340 0.0133338 -4.60376
6350 0.0127823 -4.60233
6360 0.0129414 -4.59853
6370 0.0135941 -4.59415
6380 0.0143925 -4.59103
6390 0.0150154 -4.58938
6400 0.0153154 -4.58923
6410 0.0153895 -4.59028
6420 0.0155131 -4.59203
6430 0.015924 -4.59403
6440 0.0166406 -4.59556
6450 0.0174563 -4.59542
6460 0.0180892 -4.59334
6470 0.0183496 -4.58955
6480 0.018244 -4.58521
6490 0.0178721 -4.58182
6500 0.0173308 -4.58041
6510 0.0167164 -4.58214
6520 0.0161919 -4.58716
6530 0.0160367 -4.59337
6540 0.0166616 -4.59888
6550 0.0183257 -4.60133
6560 0.0207572 -4.60092
6570 0.0232268 -4.59978
6580 0.0251003 -4.59976
6590 0.0261041 -4.6011
6600 0.0262553 -4.60325
6610 0.025714 -4.60488
6620 0.0246286 -4.60512
6630 0.0231447 -4.60332
6640 0.0214991 -4.60085
6650 0.0200664 -4.59926
6660 0.0191827 -4.59964
6670 0.0189755 -4.60269
6680 0.0193389 -4.60764
6690 0.0199923 -4.61288
6700 0.020658 -4.61575
6710 0.0211669 -4.61473
6720 0.0214525 -4.61025
6730 0.021505 -4.6043
6740 0.0214082 -4.59946
6750 0.0213575 -4.5977
6760 0.0215252 -4.59859
6770 0.0218279 -4.6009
6780 0.0219333 -4.60237
6790 0.0215978 -4.60034
6800 0.0208681 -4.59487
6810 0.0199523 -4.58767
6820 0.018994 -4.58266
6830 0.0180296 -4.58311
6840 0.0170418 -4.5891
6850 0.016058 -4.5984
6860 0.0153032 -4.6066
6870 0.0151106 -4.60968
6880 0.0156564 -4.6066
6890 0.0167543 -4.59931
