# Time-averaged data for fix 2
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6] c_Ag_mom[1] c_Ag_mom[2] c_Ag_mom[3]
1840 488.227 -76.2669 -262.202 422.254 -40.4477 -272.905 13427.7 -1310.04 -8616.46
1850 450.669 -67.4434 -297.552 398.161 -29.7173 -313.507 12666.1 -946.779 -9890.4
1860 402.23 -59.4079 -329.152 361.562 -15.3423 -346.092 11546.7 -484.21 -10941.6
1870 344.208 -45.9565 -355.193 314.255 1.24887 -369.331 10115.7 50.884 -11734.5
1880 275.005 -24.5348 -372.953 257.635 18.9774 -383.877 8407.29 636.034 -12274.2
1890 193.414 1.52605 -380.207 193.656 37.0874 -390.406 6465.12 1238.04 -12569.4
1900 103.08 26.9267 -377.313 125.684 53.819 -389.055 4374.59 1784.19 -12605.2
1910 11.5203 47.5902 -365.201 58.359 66.0998 -379.258 2269.5 2169.08 -12355.8
1920 -73.0732 61.1959 -346.705 -3.81164 71.3123 -361.176 287.631 2303.39 -11817.2
1930 -144.577 66.0464 -325.125 -57.9549 68.406 -335.702 -1479.89 2158.1 -11015.9
1940 -200.458 60.1175 -301.054 -103.682 58.2101 -304.433 -3003.17 1774.39 -10007.5
1950 -240.874 42.6663 -272.466 -142.703 42.9718 -269.87 -4308.98 1235.47 -8883.51
1960 -269.073 15.9394 -238.345 -177.875 24.5584 -235.181 -5465.96 615.8 -7753.93
1970 -290.027 -15.6894 -200.046 -211.727 3.73537 -202.69 -6549 -48.6293 -6701.82
1980 -308.525 -48.0644 -158.581 -244.96 -19.1026 -172.962 -7596.3 -744.553 -5752.39
1990 -328.864 -79.045 -112.935 -276.326 -42.7806 -145.596 -8594.26 -1445.89 -4876.57
2000 -353.78 -109.174 -60.9724 -304.249 -65.2835 -119.034 -9506.24 -2105.34 -4009.46
2010 -383.614 -139.927 -4.42278 -328.022 -84.3362 -90.8067 -10305.4 -2676.86 -3069.58
2020 -414.453 -170.515 49.5246 -347.544 -98.7085 -58.1798 -10972.9 -3129.33 -1986.07
2030 -437.432 -194.933 94.1667 -362.264 -108.127 -19.3228 -11473.8 -3440.33 -730.57
2040 -444.516 -205.898 129.023 -370.761 -112.695 25.2917 -11749.7 -3595.77 668.788
2050 -434.371 -202.077 160.161 -371.306 -112.864 73.0629 -11750.8 -3604.01 2144.53
2060 -412.129 -188.764 194.72 -363.268 -109.494 120.628 -11481.4 -3495.69 3619.74
